"Ref","Title","Organization->Name","Caller->Full name","Start date","Status","Agent->Full name","Assignment date","Close date","Cumulated pending","Description","End date","Hot Flag","Hot reason","Impact","Last pending date","Last update","Operational status","Origin","Pending reason","Priority","Private log","Public log","Resolution code","Resolution date","Resolution delay","Solution","Ticket sub-class","Urgency","User comment","User satisfaction","id (Primary Key)","Agent","Agent->Last Name","Agent->Obsolete","Agent->First Name","Agent->Organization","Agent->Organization name","Agent->Email","Agent->Employee number","Caller","Caller->Last Name","Caller->Obsolete","Caller->First Name","Caller->Organization","Caller->Organization name","Caller->Email","Caller->Employee number","Organization","Organization->Full name","Organization->Obsolete","Organization->Code","Parent change","Parent change->Ref","Parent change->Full name","Parent change->Ticket sub-class","Parent incident","Parent incident->Ref","Parent incident->Full name","Service","Service->Name","Service->Full name","Service->Provider","Service->Provider Name","Service subcategory","Service subcategory->Name","Service subcategory->Full name","Service subcategory->Service","Service subcategory->Service name","Team","Team->Full name","Team->Email","Team->Obsolete","Team->Name","Team->Organization","Team->Organization name","parent problem id","parent problem id->Ref","parent problem id->Full name","TTO Deadline","SLA tto passed","SLA tto over","TTR Deadline","SLA ttr passed","SLA ttr over"
"I-000106","Ticket Raised By Client","Nectar","Arman Agarwal","2019-02-05 07:26:36","Assigned","Jean-Paul Sartre","2019-02-11 06:32:27",,0,"Ticket Raised By Client","2019-01-30 10:00:00","No","","A department",,"2019-02-11 06:32:27","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",106,8,"Sartre",No,"Jean-Paul",2,"IT Department","sartre@it.com","",62,"Agarwal",No,"Arman",3,"Nectar","puneteam@gmail.com","",3,"Nectar",No,"NEC-00",0,"","","",0,"","",0,"","",,"",0,"","",,"",23,"System & application support","",No,"System & application support",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000105","ticket1","PMM","rohan warma","2019-02-05 06:58:31","Assigned","Jules Verne","2019-02-11 06:32:49",,0,"t","2019-01-04 13:00:00","No","","A department",,"2019-02-11 06:32:49","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",105,9,"Verne",No,"Jules",2,"IT Department","vidyadhar@nectarinfotel.com","",72,"warma",No,"rohan",14,"PMM","priyadigital245@gmail.com","7548965641",14,"PMM",No,"008",0,"","","",0,"","",0,"","",,"",0,"","",,"",21,"Helpdesk","",No,"Helpdesk",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000103","Ticket #22","DSI","Kadam Rajeev","2019-01-31 06:56:28","Assigned","Ravindra Therade","2019-01-31 06:56:36",,0,"ticket for system crash problem","2019-01-31 11:18:00","No","","A department",,"2019-01-31 06:56:42","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",103,53,"Therade",No,"Ravindra",2,"IT Department","priyadigital245@gmail.com","",70,"Rajeev",No,"Kadam",11,"DSI","priyadigital245@gmail.com","7548965641",11,"DSI",No,"005",0,"","","",0,"","",0,"","",,"",0,"","",,"",21,"Helpdesk","",No,"Helpdesk",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000102","ticket raise for app system","Nectar","Acharya Shrvastav","2019-01-31 06:55:03","Pending","Jules Verne","2019-01-31 06:55:07",,0,"ticket raise for app system","2019-01-31 12:23:14","No","","A department","2019-01-31 06:55:31","2019-01-31 06:55:31","Ongoing","phone","need to hold for some functionality","low","","","assistance",,,"","Incident","low","","Very satisfied",102,9,"Verne",No,"Jules",2,"IT Department","vidyadhar@nectarinfotel.com","",85,"Shrvastav",No,"Acharya",3,"Nectar","","",3,"Nectar",No,"NEC-00",0,"","","",0,"","",0,"","",,"",0,"","",,"",21,"Helpdesk","",No,"Helpdesk",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000101","Ticket Title2","Nectar","Agatha Christiee","2019-01-30 13:17:31","Assigned","Jean-Paul Sartre","2019-01-30 13:17:41",,0,"Ticket Title2","2019-01-04 13:00:00","No","","A department",,"2019-01-30 13:17:41","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",101,8,"Sartre",No,"Jean-Paul",2,"IT Department","sartre@it.com","",14,"Christiee",No,"Agatha",3,"Nectar","christie@demo.com","",3,"Nectar",No,"NEC-00",0,"","","",0,"","",0,"","",,"",0,"","",,"",23,"System & application support","",No,"System & application support",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000100","Ticket #16","Nectar","Akhil Bhatiya","2019-01-30 10:50:35","Resolved","Jean-Paul Sartre","2019-01-30 10:50:38",,0,"ticket for retesting","2019-01-30 12:23:14","No","","A department",,"2019-01-30 12:56:06","Resolved","phone","","low","","","assistance","2019-01-30 12:56:05",7530,"reslove","Incident","low","","Very satisfied",100,8,"Sartre",No,"Jean-Paul",2,"IT Department","sartre@it.com","",45,"Bhatiya",No,"Akhil",3,"Nectar","","",3,"Nectar",No,"NEC-00",0,"","","",0,"","",2,"Software","Software",2,"IT Department",15,"Troubleshooting","Troubleshooting",2,"Software",23,"System & application support","",No,"System & application support",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000099","Ticket generate for customer 0004 error","IT Department","Akhilesh Yada","2019-01-30 07:27:20","Assigned","Jean-Paul Sartre","2019-01-30 07:27:30",,0,"Ticket generate for customer 0004 error","2019-01-30 12:23:14","No","","A department",,"2019-01-30 07:29:32","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",99,8,"Sartre",No,"Jean-Paul",2,"IT Department","sartre@it.com","",54,"Yada",No,"Akhilesh",2,"IT Department","","",2,"IT Department",No,"IT",0,"","","",0,"","",0,"","",,"",0,"","",,"",23,"System & application support","",No,"System & application support",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000098","Ticket Raised By Client","Nectar","Babeg Charles","2019-01-30 06:44:55","Assigned","Jules Verne","2019-01-30 07:34:27",,0,"Ticket Raised By Client","2019-01-04 13:00:00","No","","A department",,"2019-01-30 07:34:27","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",98,9,"Verne",No,"Jules",2,"IT Department","vidyadhar@nectarinfotel.com","",50,"Charles",Yes,"Babeg",3,"Nectar","","",3,"Nectar",No,"NEC-00",0,"","","",0,"","",0,"","",,"",0,"","",,"",23,"System & application support","",No,"System & application support",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000097","Ticket Raised By Client","My Company/Department","Ram Kumar","2019-01-30 06:38:36","Assigned","Jules Verne","2019-01-30 07:34:41",,0,"Ticket Raised By Client","2019-01-04 13:00:00","No","","A department",,"2019-01-30 07:58:36","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",97,9,"Verne",No,"Jules",2,"IT Department","vidyadhar@nectarinfotel.com","",31,"Kumar",No,"Ram",1,"My Company/Department","theraderutu@gmail.com","7548965641",1,"My Company/Department",No,"SOMECODE",0,"","","",0,"","",0,"","",,"",0,"","",,"",23,"System & application support","",No,"System & application support",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000096","create incident","Nectar","Akhilesh Arora","2019-01-30 06:05:49","Assigned","Marguerite Duras","2019-01-30 06:05:54",,0,"create incident","2019-01-30 12:23:14","No","","A department",,"2019-01-30 07:08:12","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",96,10,"Duras",No,"Marguerite",2,"IT Department","duras@it.com","",80,"Arora",No,"Akhilesh",3,"Nectar","","",3,"Nectar",No,"NEC-00",0,"","","",0,"","",0,"","",,"",0,"","",,"",21,"Helpdesk","",No,"Helpdesk",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000095","Ticket raise for Menu","DSI","Kadam Rajeev","2019-01-30 05:42:47","Assigned","Jules Verne","2019-01-30 05:42:55",,0,"ticket raise by sonali","2019-01-30 12:23:14","No","","A department",,"2019-01-30 05:43:04","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",95,9,"Verne",No,"Jules",2,"IT Department","vidyadhar@nectarinfotel.com","",70,"Rajeev",No,"Kadam",11,"DSI","priyadigital245@gmail.com","7548965641",11,"DSI",No,"005",0,"","","",0,"","",0,"","",,"",0,"","",,"",21,"Helpdesk","",No,"Helpdesk",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000092","Ticket Raised","Nectar","Akhilesh Arora","2019-01-29 13:16:30","Assigned","Marguerite Duras","2019-01-29 13:16:38",,0,"Ticket Raised","2019-01-04 13:00:00","No","","A department",,"2019-01-29 13:16:38","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",92,10,"Duras",No,"Marguerite",2,"IT Department","duras@it.com","",80,"Arora",No,"Akhilesh",3,"Nectar","","",3,"Nectar",No,"NEC-00",0,"","","",0,"","",0,"","",,"",0,"","",,"",21,"Helpdesk","",No,"Helpdesk",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000091","Ticket #21","Nectar","Frida Kahlo","2019-01-29 13:10:59","Assigned","Jean-Paul Sartre","2019-01-29 13:11:07",,2496006,"ticket by #21, issue raised for website loading","2019-01-30 12:23:14","No","","A department","2019-01-29 13:46:10","2019-02-27 11:06:16","Ongoing","phone","hold on","low","","","assistance","2019-01-29 13:11:39",40,"fix issue","Incident","low","","Very satisfied",91,8,"Sartre",No,"Jean-Paul",2,"IT Department","sartre@it.com","",7,"Kahlo",No,"Frida",3,"Nectar","frida.kahlo@demo.com","",3,"Nectar",No,"NEC-00",0,"","","",0,"","",1,"Computers and peripherals","Computers and peripherals",2,"IT Department",12,"Repair","Repair",1,"Computers and peripherals",23,"System & application support","",No,"System & application support",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000090","Ticket raised by application through client requirement...........","Nectar","Akhil Bhatiya","2019-01-29 13:08:19","Assigned","Marguerite Duras","2019-01-29 13:08:29",,0,"Ticket raised by application through client requirement...........","2019-01-04 13:00:00","No","","A department",,"2019-01-29 13:08:29","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",90,10,"Duras",No,"Marguerite",2,"IT Department","duras@it.com","",45,"Bhatiya",No,"Akhil",3,"Nectar","","",3,"Nectar",No,"NEC-00",0,"","","",0,"","",0,"","",,"",0,"","",,"",21,"Helpdesk","",No,"Helpdesk",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000089","Ticket Title111","Nectar","Arman Agarwal","2019-01-29 13:05:33","Assigned","Jules Verne","2019-01-29 13:05:48",,0,"Ticket Title111","2019-01-04 13:00:00","No","","A department",,"2019-01-29 13:05:48","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",89,9,"Verne",No,"Jules",2,"IT Department","vidyadhar@nectarinfotel.com","",62,"Agarwal",No,"Arman",3,"Nectar","puneteam@gmail.com","",3,"Nectar",No,"NEC-00",0,"","","",0,"","",0,"","",,"",0,"","",,"",21,"Helpdesk","",No,"Helpdesk",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000087","Ticket for mobile problem","Nectar","Erri De Luca","2019-01-29 12:46:44","Resolved","Jules Verne","2019-01-29 12:46:53",,0,"Ticket for mobile problem","2019-01-30 12:23:14","No","","A department",,"2019-01-29 12:51:30","Resolved","phone","","low","","","bug fixed","2019-01-29 12:51:30",286,"fix","Incident","low","","Very satisfied",87,9,"Verne",No,"Jules",2,"IT Department","vidyadhar@nectarinfotel.com","",17,"De Luca",No,"Erri",3,"Nectar","deluca@demo.com","",3,"Nectar",No,"NEC-00",0,"","","",0,"","",1,"Computers and peripherals","Computers and peripherals",2,"IT Department",16,"Troubleshooting","Troubleshooting",1,"Computers and peripherals",23,"System & application support","",No,"System & application support",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000083","Ticket Title10","DO","ghate Taran","2019-01-29 11:30:28","Assigned","Jean-Paul Sartre","2019-01-29 11:30:37",,0,"Ticket Title10","2019-01-04 13:00:00","No","","A department",,"2019-01-29 11:30:37","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",83,8,"Sartre",No,"Jean-Paul",2,"IT Department","sartre@it.com","",71,"Taran",Yes,"ghate",12,"DO","priyadigital245@gmail.com","7548965641",12,"DO",No,"006",0,"","","",0,"","",0,"","",,"",0,"","",,"",23,"System & application support","",No,"System & application support",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000082","Ticket Title9","DO","ghate Taran","2019-01-29 11:23:57","Assigned","Jules Verne","2019-01-29 11:24:07",,0,"Ticket Title9","2019-01-04 13:00:00","No","","A department",,"2019-01-29 11:24:07","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",82,9,"Verne",No,"Jules",2,"IT Department","vidyadhar@nectarinfotel.com","",71,"Taran",Yes,"ghate",12,"DO","priyadigital245@gmail.com","7548965641",12,"DO",No,"006",0,"","","",0,"","",0,"","",,"",0,"","",,"",21,"Helpdesk","",No,"Helpdesk",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000081","Ticket12","PMM","rohan warma","2019-01-29 11:22:25","Assigned","Jules Verne","2019-01-29 11:22:32",,0,"ticketscgfsgfs

sdfdsfd","2019-01-29 12:23:14","No","","A department",,"2019-01-29 17:27:42","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",81,9,"Verne",No,"Jules",2,"IT Department","vidyadhar@nectarinfotel.com","",72,"warma",No,"rohan",14,"PMM","priyadigital245@gmail.com","7548965641",14,"PMM",No,"008",0,"","","",0,"","",0,"","",,"",0,"","",,"",21,"Helpdesk","",No,"Helpdesk",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000080","Ticket Title8","DO","ghate Taran","2019-01-29 11:06:51","Assigned","Jules Verne","2019-01-29 11:06:57",,0,"Ticket Title8","2019-01-04 13:00:00","No","","A department",,"2019-01-29 11:06:57","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",80,9,"Verne",No,"Jules",2,"IT Department","vidyadhar@nectarinfotel.com","",71,"Taran",Yes,"ghate",12,"DO","priyadigital245@gmail.com","7548965641",12,"DO",No,"006",0,"","","",0,"","",0,"","",,"",0,"","",,"",23,"System & application support","",No,"System & application support",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000079","Ticket #20","PMM","Niraa raut","2019-01-29 10:57:56","Pending","Jules Verne","2019-01-29 10:58:05",,0,"Ticket generated by sonali","2019-01-30 12:23:14","No","","A department","2019-01-29 11:15:18","2019-01-29 11:15:18","Ongoing","phone","pending","low","","","assistance",,,"","Incident","low","","Very satisfied",79,9,"Verne",No,"Jules",2,"IT Department","vidyadhar@nectarinfotel.com","",74,"raut",No,"Niraa",14,"PMM","priyadigital245@gmail.com","7548965641",14,"PMM",No,"008",0,"","","",0,"","",0,"","",,"",0,"","",,"",21,"Helpdesk","",No,"Helpdesk",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000078","Ticket #16","DI","Acharya Shrvastav","2019-01-29 10:47:03","Assigned","Jules Verne","2019-01-29 10:47:13",,0,"ticket for incident","2019-01-30 12:23:14","No","","A department",,"2019-01-29 10:47:22","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",78,9,"Verne",No,"Jules",2,"IT Department","vidyadhar@nectarinfotel.com","",66,"Shrvastav",No,"Acharya",13,"DI","","",13,"DI",No,"007",0,"","","",0,"","",0,"","",,"",0,"","",,"",23,"System & application support","",No,"System & application support",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000077","Ticket Title8","DO","ghate Taran","2019-01-29 10:46:51","Assigned","Marguerite Duras","2019-01-29 10:47:03",,0,"Ticket Title8","2019-01-04 13:00:00","No","","A department",,"2019-01-29 10:47:03","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",77,10,"Duras",No,"Marguerite",2,"IT Department","duras@it.com","",71,"Taran",Yes,"ghate",12,"DO","priyadigital245@gmail.com","7548965641",12,"DO",No,"006",0,"","","",0,"","",0,"","",,"",0,"","",,"",21,"Helpdesk","",No,"Helpdesk",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000075","Ticket #19","PMM","Niraa raut","2019-01-29 10:37:36","Assigned","Marguerite Duras","2019-01-29 10:38:14",,0,"ticket raise for laptop problem","2019-01-29 12:23:14","No","","A department",,"2019-01-29 10:38:21","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",75,10,"Duras",No,"Marguerite",2,"IT Department","duras@it.com","",74,"raut",No,"Niraa",14,"PMM","priyadigital245@gmail.com","7548965641",14,"PMM",No,"008",0,"","","",0,"","",0,"","",,"",0,"","",,"",21,"Helpdesk","",No,"Helpdesk",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000074","Ticket Title7","DO","ghate Taran","2019-01-29 10:36:50","Pending","Jean-Paul Sartre","2019-01-29 10:36:58",,10,"Ticket Title7","2019-01-04 13:00:00","No","","A department","2019-01-29 10:39:11","2019-01-29 10:39:11","Ongoing","phone","n","low","","","assistance",,,"","Incident","low","","Very satisfied",74,8,"Sartre",No,"Jean-Paul",2,"IT Department","sartre@it.com","",71,"Taran",Yes,"ghate",12,"DO","priyadigital245@gmail.com","7548965641",12,"DO",No,"006",0,"","","",0,"","",0,"","",,"",0,"","",,"",23,"System & application support","",No,"System & application support",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000073","Ticket Title6","Business Development Executive","Business Business","2019-01-29 10:35:09","Assigned","Marguerite Duras","2019-01-29 10:35:15",,0,"Ticket Title6","2019-01-04 13:00:00","No","","A department",,"2019-01-29 10:35:15","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",73,10,"Duras",No,"Marguerite",2,"IT Department","duras@it.com","",73,"Business",No,"Business",7,"Business Development Executive","","",7,"Business Development Executive",Yes,"004",0,"","","",0,"","",0,"","",,"",0,"","",,"",21,"Helpdesk","",No,"Helpdesk",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000072","Ticket Title5","Business Development Executive","Business Business","2019-01-29 10:33:04","Assigned","Marguerite Duras","2019-01-29 10:33:09",,0,"Ticket Title5","2019-01-04 13:00:00","No","","A department",,"2019-01-29 10:33:09","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",72,10,"Duras",No,"Marguerite",2,"IT Department","duras@it.com","",64,"Business",No,"Business",7,"Business Development Executive","","12345",7,"Business Development Executive",Yes,"004",0,"","","",0,"","",0,"","",,"",0,"","",,"",21,"Helpdesk","",No,"Helpdesk",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000071","Ticket Title4","DO","ghate Taran","2019-01-29 10:31:36","Assigned","Jean-Paul Sartre","2019-01-29 10:31:41",,0,"Ticket Title4","2019-01-08 10:00:00","No","","A department",,"2019-01-29 10:31:41","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",71,8,"Sartre",No,"Jean-Paul",2,"IT Department","sartre@it.com","",71,"Taran",Yes,"ghate",12,"DO","priyadigital245@gmail.com","7548965641",12,"DO",No,"006",0,"","","",0,"","",0,"","",,"",0,"","",,"",23,"System & application support","",No,"System & application support",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000070","Ticket Title3","DI","jadhav Pardip","2019-01-29 10:29:56","Assigned","Jean-Paul Sartre","2019-01-29 10:30:01",,0,"Ticket Title3","2019-01-04 10:00:00","No","","A department",,"2019-01-29 10:30:01","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",70,8,"Sartre",No,"Jean-Paul",2,"IT Department","sartre@it.com","",68,"Pardip",No,"jadhav",13,"DI","priyadigital245@gmail.com","7548965641",13,"DI",No,"007",0,"","","",0,"","",0,"","",,"",0,"","",,"",23,"System & application support","",No,"System & application support",2,"IT Department",0,"","","","no","0s","","no","0s"
